LithologyCode,LithNumber,OldIDNumber,,LAT,NS,LONG,EW,Continent,Country,,GeogComments,LMU,Period,Stage,AgeComments,Lithology,Formation,LithComments,PrimaryReference,SeeAlso
E,1,E5466,,29,N,17,E,Africa,Libya,,,Lower,Paleogene,,,Evaporites,Hofra(?),,Claypool et al.(1980),
E,2,E5467,,28,N,22,E,Africa,Libya,,Sirte Basin,Lower,Paleogene,,,Evaporites,,,"Gillespie,Sanford(1967)","see also Gumati(1992),Mresah(1993)"
E,3,E5468,,28,N,17,E,Africa,Libya,,Sirte Basin,Lower,Paleogene,,Montian,Evaporites,,,Abushagur(1992),
E,4,E5469,,28,N,18,E,Africa,Libya,,,Lower,Paleogene,,Montian,Evaporites,Beda Dolomite,,"Garea,Braithwaite(1996)",
E,5,E5469.1,,31,N,21,E,Africa,Libya,,Al Jabar al Akhdar,Lower,Paleogene,,Late Paleocene,Evaporites,,in well DI-41,Abdul-Samad(2000),
E,6,E5470,,32,N,-7,W,Africa,Morocco,,,Lower,Paleogene,,Paleocene,Evaporites,,,Salvan(1972),
E,7,E5471,,13,N,6,E,Africa,Nigeria,,northwestern Nigeria,Lower,Paleogene,,,Gypsum,Thanetian Dange,,Petters(1979),
E,8,E5471.1,,15,N,5.5,E,Africa,Nigeria,,Sokoto Basin,Lower,Paleogene,,Paleocene,Evaporites,Unit B of Paleocene age,,Alam(1986),
E,9,E5472,,5,N,47,E,Africa,Somalia,,coastal Somalia,Lower,Paleogene,,Paleocene,Evaporites,,,Barnes(1976),
E,10,E5472.1,,-33,S,28,E,Africa,South Africa,,Fort Gray,Lower,Paleogene,,Paleocene,Evaporites,Knysna,,Dingle et al.(1983),
E,11,E5472.2,,34.3,N,8.5,E,Africa,Tunisia,,Metlaoui region,Lower,Paleogene,,,Evaporites,Tselja,,"Moody,Buffetaut(1981)",
E,12,E5473,,40,N,75,E,Asia,China,,Northwest China:Wuchai,Lower,Paleogene,,Paleocene,Evaporites,,gypsum and rock salt,Chu Xu-chun(1986),
E,13,E5474,,39,N,80,E,Asia,China,,Northwest China:Mazatake,Lower,Paleogene,,Paleocene,Evaporites,,gypsum and rock salt,Chu Xu-chun(1986),
E,14,E5475,,41.5,N,81.5,E,Asia,China,,Northwest China:Wenshu-Kuche,L - M,Paleogene,,Paleocene to Eocene,Evaporites,,gypsum ore,Chu Xu-chun(1986),
E,15,E5476,,33,N,119,E,Asia,China,,North China:Hongzhe,L - M,Paleogene,,Paleocene to early Eocene,Evaporites,Funing,salt ore,Chu Xu-chun(1986),
E,16,E5477,,36,N,117,E,Asia,China,,North China:Daewenkou,Lower,Paleogene,,Paleocene,Gypsum,Guanzhuang,,Chu Xu-chun(1986)
