,Time_Ma,Mean_subducting_seafloor_age_myr
0,0,80.6597147803
1,1,77.1330612922
2,2,76.3725089122
3,3,74.72245087
4,4,74.3702216333
5,5,74.810517424
6,6,73.655550288
7,7,73.1489417078
8,8,72.867020915
9,9,72.5102497588
10,10,70.8250495624
11,11,72.5692231419
12,12,74.2302094648
13,13,75.4061348675
14,14,75.0327790234
15,15,74.2814491732
16,16,70.5904826527
17,17,70.1070296742
18,18,68.7612552175
19,19,67.6382139269
20,20,66.6651729248
21,21,68.5486841762
22,22,68.391568059
23,23,67.4549011979
24,24,67.5765623318
25,25,67.3251769234
26,26,67.0766476953
27,27,66.4559157363
28,28,65.8463957972
29,29,65.7281875048
30,30,66.0323018377
31,31,66.712746265
32,32,65.8617182074
33,33,66.0759461553
34,34,64.6149962174
35,35,63.7555023816
36,36,62.9672480781
37,37,62.5672155453
38,38,60.8074592275
39,39,60.3020546038
40,40,57.6922509945
41,41,55.8903366674
42,42,54.6973761997
43,43,55.8413133505
44,44,54.693427709
45,45,51.2269899754
46,46,52.241754778
47,47,51.1781527857
48,48,51.1496509512
49,49,50.383296667
50,50,50.1498484636
51,51,48.5704440675
52,52,49.1663954386
53,53,47.3231940183
54,54,46.4705530654
55,55,46.320618954
56,56,48.9831510137
57,57,47.9442654992
58,58,46.5663962853
59,59,46.8293039201
60,60,47.4109205595
61,61,49.5848598283
62,62,50.0127727017
63,63,50.9538517163
64,64,51.0596160095
65,65,51.6550865405
66,66,53.3248520296
67,67,53.3794538857
68,68,54.5724537148
69,69,54.604384432
70,70,55.835897996
71,71,57.2729697441
72,72,57.1814209106
73,73,57.1392051978
74,74,56.5772705805
75,75,56.1202468251
76,76,56.0599380273
77,77,56.5282728744
78,78,57.0601360507
79,79,57.8809114721
80,80,58.808585656
81,81,60.444956597
82,82,60.785799734
83,83,60.6372987966
84,84,60.933868745
85,85,59.3895944949
86,86,62.319737019
87,87,62.8581119343
88,88,64.7633311463
89,89,64.8364918549
90,90,64.148047735
91,91,63.0588485051
92,92,62.8202524721
93,93,63.2252162159
94,94,63.4981305442
95,95,63.5050098397
96,96,62.6492608996
97,97,62.9957036157
98,98,63.4613091174
99,99,62.781495203
100,100,62.9683184508
101,101,61.2452681698
102,102,61.5398153545
103,103,60.7982993529
104,104,63.1380150305
105,105,62.944180246
106,106,63.4324427679
107,107,62.0900401256
108,108,62.6584632196
109,109,62.1075489122
110,110,60.8653211051
111,111,65.4783550927
112,112,66.3250828881
113,113,65.3865914568
114,114,64.6986675129
115,115,64.6856206997
116,116,64.8199053268
117,117,64.1684371141
118,118,63.851418298
119,119,63.8135220365
120,120,64.010335709
121,121,63.3259171632
122,122,62.5615503003
123,123,62.7433533192
124,124,62.2500607317
125,125,63.6682243729
126,126,67.7084751337
127,127,66.2453501947
128,128,66.131644939
129,129,66.1772338206
130,130,67.3699559429
131,131,69.6570490303
132,132,69.1338711657
133,133,69.8995602204
134,134,72.2097125168
135,135,70.4230433184
136,136,75.5888115003
137,137,75.4556652506
138,138,75.1906692925
139,139,75.6115738
140,140,74.4427692133
141,141,75.2188803195
142,142,74.9106653234
143,143,74.4054247214
144,144,76.5181570823
145,145,78.7896730519
146,146,84.6293088088
147,147,83.5083805512
148,148,85.6630198473
149,149,85.8662556398
150,150,89.3671858369
151,151,93.0583522972
152,152,93.2251447116
153,153,94.228431057
154,154,118.646980842
155,155,119.37316148
156,156,119.994689991
157,157,121.346608202
158,158,120.161742748
159,159,120.611227711
160,160,119.700893403
161,161,109.974769403
162,162,111.826332536
163,163,112.481152959
164,164,111.566893231
165,165,112.046979566
166,166,111.207641399
167,167,111.999438537
168,168,110.177174391
169,169,110.577581177
170,170,110.102919768
171,171,110.518198358
172,172,111.806704212
173,173,111.85083257
174,174,111.085683674
175,175,109.771630109
176,176,108.099331674
177,177,107.821773594
178,178,108.168622607
179,179,109.153688338
180,180,109.973357541
181,181,118.292884746
182,182,117.57874766
183,183,118.269626189
184,184,117.0035425
185,185,115.467083779
186,186,114.503833249
187,187,112.773110907
188,188,113.126775595
189,189,112.468893709
190,190,111.089056985
191,191,110.387702395
192,192,104.645443679
193,193,104.693378881
194,194,102.786503466
195,195,106.567225388
196,196,106.454436771
197,197,105.835813303
198,198,107.939778213
199,199,110.110614565
200,200,105.043107381
201,201,103.49189544
202,202,102.792132017
203,203,101.973829085
204,204,100.080971125
205,205,100.661054387
206,206,101.65417407
207,207,99.9517749382
208,208,99.079225757
209,209,96.7694224314
210,210,95.4550920254
211,211,92.5591615715
212,212,91.5053556568
213,213,90.3488556323
214,214,89.103894108
215,215,88.0271524922
216,216,86.7970151179
217,217,87.78394205
218,218,87.2025446526
219,219,86.8232716701
220,220,86.1071398353
221,221,85.8789674168
222,222,85.0553317931
223,223,83.9250147626
224,224,83.0247445042
225,225,82.4064112312
226,226,81.6554190242
227,227,80.8631167404
228,228,81.3022186868
229,229,80.4217112721
230,230,79.8501580119
