,Time_(Ma),Subduction_Area_Flux_(m^2/year)
0,0,2788856.30647
1,1,2797632.26283
2,2,2724479.00526
3,3,2755370.85657
4,4,2733895.42934
5,5,2971583.47
6,6,2884729.15606
7,7,2897180.41762
8,8,2956061.57195
9,9,2975015.92352
10,10,2966489.09162
11,11,2698929.63902
12,12,2660058.47572
13,13,2753213.02971
14,14,2742682.74723
15,15,3026484.14461
16,16,3037088.47107
17,17,2975730.5049
18,18,2991400.34837
19,19,3096604.97032
20,20,3342165.69006
21,21,3472442.80273
22,22,3539782.83109
23,23,3550564.20343
24,24,3498411.98029
25,25,3942822.82358
26,26,3833841.21218
27,27,3716792.6086
28,28,3835614.72845
29,29,3692042.20604
30,30,3731998.11338
31,31,3681742.17093
32,32,3722878.91915
33,33,3255188.69772
34,34,3540183.43729
35,35,3970576.98757
36,36,3876260.93894
37,37,3747297.58413
38,38,3599365.94413
39,39,3636842.94642
40,40,3474068.59174
41,41,3581478.72814
42,42,3589200.06634
43,43,3490507.55256
44,44,3294086.00858
45,45,3358951.72858
46,46,3164709.11483
47,47,3121754.74975
48,48,3647084.64634
49,49,3615088.02795
50,50,3565321.81198
51,51,3579483.5116
52,52,3973049.92452
53,53,4258022.81977
54,54,4397219.04471
55,55,4363568.98832
56,56,4027522.25631
57,57,4167217.11542
58,58,4021795.82486
59,59,4138075.46951
60,60,4180015.43192
61,61,4188382.96931
62,62,4523911.39411
63,63,4639533.60496
64,64,4907992.07916
65,65,4581825.24448
66,66,4262264.43878
67,67,4334818.14158
68,68,4337282.92448
69,69,4344854.32431
70,70,4364707.63708
71,71,4449900.52828
72,72,4436608.62151
73,73,4311843.04782
74,74,4110180.3773
75,75,4134706.56841
76,76,4495525.25908
77,77,4511406.21735
78,78,4508350.59832
79,79,4724432.79492
80,80,4887485.25229
81,81,4781127.97039
82,82,4808659.31153
83,83,3713458.21269
84,84,3783107.2151
85,85,3761344.01922
86,86,4184561.61074
87,87,4185936.78564
88,88,4183573.25196
89,89,4182994.08599
90,90,4159342.85986
91,91,4179908.70921
92,92,4181140.31959
93,93,4184095.94502
94,94,4187081.85758
95,95,4143368.77569
96,96,4157126.06297
97,97,4167405.00895
98,98,4177394.56951
99,99,4187278.14763
100,100,4963241.06188
101,101,5075604.28618
102,102,5069138.02913
103,103,5113651.03177
104,104,5051105.78131
105,105,4918072.94155
106,106,4747532.6605
107,107,4762901.79102
108,108,4804973.9756
109,109,4840458.37093
110,110,4726419.90781
111,111,4818801.36467
112,112,4839247.30363
113,113,4854083.4449
114,114,4867924.31407
115,115,4916595.28587
116,116,5122431.7845
117,117,5140077.5515
118,118,5154300.88775
119,119,5164377.67586
120,120,5761004.46325
121,121,6162937.65749
122,122,6222708.56702
123,123,6357555.59281
124,124,6656644.99059
125,125,6469681.6795
126,126,6276559.57984
127,127,6425482.8814
128,128,6606388.62102
129,129,6527206.47171
130,130,6191321.40588
131,131,5935475.82469
132,132,5826744.22415
133,133,5765536.63997
134,134,5821844.4464
135,135,5982390.67287
136,136,6095776.0868
137,137,6064237.91496
138,138,5201379.80782
139,139,5145588.17772
140,140,5088577.02982
141,141,5180448.11803
142,142,5072301.60888
143,143,4973706.5788
144,144,4957314.01045
145,145,4709263.59486
146,146,4621280.03346
147,147,4785147.68125
148,148,4802640.97715
149,149,4833381.64067
150,150,4754561.44245
151,151,4760621.83522
152,152,4770463.67213
153,153,4643882.91011
154,154,3322961.11764
155,155,3271677.77988
156,156,3848964.69319
157,157,3807706.16139
158,158,3799163.35003
159,159,3853270.90126
160,160,3509396.172
161,161,3513428.29917
162,162,3523997.08436
163,163,3536506.07993
164,164,3605040.70821
165,165,3757554.34498
166,166,3740164.48466
167,167,3740495.28138
168,168,4093802.95789
169,169,4103714.64256
170,170,4058751.12442
171,171,4057583.67351
172,172,4056767.39662
173,173,4057438.87827
174,174,4060553.03227
175,175,4072791.86367
176,176,4074123.37838
177,177,3854876.6843
178,178,3856127.7288
179,179,3857970.12893
180,180,3169978.69508
181,181,3088422.7702
182,182,3090311.81171
183,183,3092144.7761
184,184,3093872.55176
185,185,3095530.23884
186,186,3097248.80126
187,187,3102327.93088
188,188,3100359.47965
189,189,3097390.79709
190,190,3036574.25411
191,191,3020295.53739
192,192,3022659.30024
193,193,3025711.05553
194,194,3028874.15084
195,195,3027748.25254
196,196,3037562.35549
197,197,3043997.03277
198,198,3049905.88793
199,199,3055830.42897
200,200,3110359.71424
201,201,3115384.00417
202,202,3123048.97958
203,203,3129988.94178
204,204,3136042.72667
205,205,3140401.67036
206,206,3144221.80738
207,207,3147872.29683
208,208,3151455.94875
209,209,3154887.2381
210,210,3085417.14791
211,211,3087155.54865
212,212,3089813.62812
213,213,3091833.34153
214,214,3093577.05116
215,215,3095034.82148
216,216,3096191.94897
217,217,3097019.11368
218,218,3097520.12583
219,219,3097870.83975
220,220,3105996.74296
221,221,3102162.05077
222,222,3103735.98578
223,223,3105091.82446
224,224,3106081.48926
225,225,3107121.83884
226,226,3108551.25884
227,227,3109928.46937
228,228,3112689.77552
229,229,3115572.29495
230,230,3675967.55896
