,Time_(Ma),Subduction_Volume_Flux_(km^3/year)
0,0,232.430768121
1,1,234.561612613
2,2,228.447531309
3,3,227.636823666
4,4,225.590399575
5,5,243.92884463
6,6,236.537755861
7,7,238.618441969
8,8,246.486864105
9,9,244.863602212
10,10,244.265727948
11,11,222.250379753
12,12,224.981202264
13,13,228.371062463
14,14,226.27763287
15,15,248.067063209
16,16,246.044000721
17,17,239.331708723
18,18,238.295639158
19,19,245.407565258
20,20,262.417579799
21,21,275.237082604
22,22,281.73595379
23,23,284.241857081
24,24,278.800802755
25,25,328.832336659
26,26,307.778167901
27,27,293.921723109
28,28,299.181916424
29,29,288.681919801
30,30,294.778851599
31,31,292.843396743
32,32,294.998816674
33,33,263.263403422
34,34,287.978388473
35,35,318.313141507
36,36,308.700066037
37,37,292.626375236
38,38,278.066219854
39,39,278.131612096
40,40,260.967680795
41,41,259.386250604
42,42,251.59052247
43,43,247.048757701
44,44,225.711203764
45,45,223.982395651
46,46,214.924581567
47,47,211.344304163
48,48,242.027310728
49,49,234.176265763
50,50,227.330119088
51,51,222.914528139
52,52,249.492675783
53,53,263.604920121
54,54,269.230660398
55,55,260.190908994
56,56,238.859557443
57,57,237.233737612
58,58,218.615827003
59,59,231.687503722
60,60,242.75141399
61,61,263.163623583
62,62,295.954249127
63,63,306.879249504
64,64,320.056597761
65,65,310.590251418
66,66,293.629750262
67,67,303.461684403
68,68,310.066326267
69,69,313.718780805
70,70,320.062107277
71,71,329.758599658
72,72,331.166441367
73,73,325.413901853
74,74,315.907827381
75,75,320.357487971
76,76,350.878468146
77,77,355.585233627
78,78,357.547992416
79,79,377.489984993
80,80,392.708875457
81,81,395.283328802
82,82,400.078075616
83,83,292.491254917
84,84,302.682817989
85,85,298.533948534
86,86,327.048337515
87,87,328.465379349
88,88,329.951252475
89,89,330.070430019
90,90,329.782256151
91,91,329.616851856
92,92,329.316608076
93,93,332.768799566
94,94,330.411683631
95,95,317.806423925
96,96,316.635652665
97,97,316.707300863
98,98,320.221776258
99,99,318.935227674
100,100,364.706774278
101,101,362.432215371
102,102,362.917143008
103,103,367.700377704
104,104,364.699428278
105,105,350.857348175
106,106,333.403425889
107,107,330.711400111
108,108,335.365966428
109,109,338.103361966
110,110,335.604194072
111,111,358.964980745
112,112,363.584005682
113,113,360.759263924
114,114,359.638516508
115,115,363.893982572
116,116,382.346833238
117,117,382.729546946
118,118,383.793981518
119,119,385.402994915
120,120,436.863227641
121,121,480.999256703
122,122,481.326336455
123,123,489.24935087
124,124,506.713341274
125,125,502.914787008
126,126,513.853177392
127,127,522.763094098
128,128,533.846527012
129,129,526.106778507
130,130,505.751327854
131,131,487.531022159
132,132,474.161358235
133,133,464.454519635
134,134,473.336676524
135,135,479.707674424
136,136,502.072922103
137,137,498.06027317
138,138,429.433414786
139,139,421.586044841
140,140,400.498075755
141,141,409.987217007
142,142,400.335067934
143,143,394.24650448
144,144,404.030284191
145,145,391.46168008
146,146,399.289579154
147,147,414.210389352
148,148,416.716716179
149,149,421.474658813
150,150,416.825719921
151,151,422.955548588
152,152,423.100673779
153,153,412.635217995
154,154,293.22349078
155,155,289.856279006
156,156,335.124845968
157,157,334.380384671
158,158,334.235940481
159,159,338.143431475
160,160,306.746021019
161,161,315.269049142
162,162,316.623006001
163,163,317.89925114
164,164,323.530203365
165,165,339.672876034
166,166,340.169894784
167,167,339.68915867
168,168,369.369291553
169,169,369.850045811
170,170,367.085048195
171,171,367.280943749
172,172,368.407025248
173,173,367.927661199
174,174,366.50326475
175,175,366.676071867
176,176,363.973139073
177,177,342.59380885
178,178,344.241709955
179,179,347.734452049
180,180,288.505642971
181,181,284.962941479
182,182,283.720387721
183,183,284.831564595
184,184,283.463182972
185,185,281.997714653
186,186,280.682651754
187,187,279.554595664
188,188,279.943024123
189,189,278.293544357
190,190,273.172620455
191,191,271.721051782
192,192,268.829056994
193,193,268.919123197
194,194,267.917873628
195,195,269.633560817
196,196,270.579457516
197,197,270.911107268
198,198,275.060458684
199,199,282.043658355
200,200,281.897502319
201,201,284.177344213
202,202,286.174709307
203,203,284.632868897
204,204,282.178669865
205,205,285.60383604
206,206,291.235908896
207,207,288.783621948
208,208,288.307097615
209,209,283.559202265
210,210,275.735863608
211,211,272.744455257
212,212,271.666894182
213,213,270.382830722
214,214,268.099031212
215,215,266.596480821
216,216,264.317561798
217,217,268.744667932
218,218,267.646783858
219,219,267.45867805
220,220,261.389194935
221,221,261.354372728
222,222,260.356903767
223,223,259.54040426
224,224,259.439128931
225,225,259.660740191
226,226,259.810932741
227,227,259.664008698
228,228,260.730175798
229,229,259.180590495
230,230,291.63162545
