,Time_(Ma),Subduction_Volume_Flux_(m^3/Ma)
0,0,2.32430768121e+17
1,1,2.34561612613e+17
2,2,2.28447531309e+17
3,3,2.27636823666e+17
4,4,2.25590399575e+17
5,5,2.4392884463e+17
6,6,2.36537755861e+17
7,7,2.38618441969e+17
8,8,2.46486864105e+17
9,9,2.44863602212e+17
10,10,2.44265727948e+17
11,11,2.22250379753e+17
12,12,2.24981202264e+17
13,13,2.28371062463e+17
14,14,2.2627763287e+17
15,15,2.48067063209e+17
16,16,2.46044000721e+17
17,17,2.39331708723e+17
18,18,2.38295639158e+17
19,19,2.45407565258e+17
20,20,2.62417579799e+17
21,21,2.75237082604e+17
22,22,2.8173595379e+17
23,23,2.84241857081e+17
24,24,2.78800802755e+17
25,25,3.28832336659e+17
26,26,3.07778167901e+17
27,27,2.93921723109e+17
28,28,2.99181916424e+17
29,29,2.88681919801e+17
30,30,2.94778851599e+17
31,31,2.92843396743e+17
32,32,2.94998816674e+17
33,33,2.63263403422e+17
34,34,2.87978388473e+17
35,35,3.18313141507e+17
36,36,3.08700066037e+17
37,37,2.92626375236e+17
38,38,2.78066219854e+17
39,39,2.78131612096e+17
40,40,2.60967680795e+17
41,41,2.59386250604e+17
42,42,2.5159052247e+17
43,43,2.47048757701e+17
44,44,2.25711203764e+17
45,45,2.23982395651e+17
46,46,2.14924581567e+17
47,47,2.11344304163e+17
48,48,2.42027310728e+17
49,49,2.34176265763e+17
50,50,2.27330119088e+17
51,51,2.22914528139e+17
52,52,2.49492675783e+17
53,53,2.63604920121e+17
54,54,2.69230660398e+17
55,55,2.60190908994e+17
56,56,2.38859557443e+17
57,57,2.37233737612e+17
58,58,2.18615827003e+17
59,59,2.31687503722e+17
60,60,2.4275141399e+17
61,61,2.63163623583e+17
62,62,2.95954249127e+17
63,63,3.06879249504e+17
64,64,3.20056597761e+17
65,65,3.10590251418e+17
66,66,2.93629750262e+17
67,67,3.03461684403e+17
68,68,3.10066326267e+17
69,69,3.13718780805e+17
70,70,3.20062107277e+17
71,71,3.29758599658e+17
72,72,3.31166441367e+17
73,73,3.25413901853e+17
74,74,3.15907827381e+17
75,75,3.20357487971e+17
76,76,3.50878468146e+17
77,77,3.55585233627e+17
78,78,3.57547992416e+17
79,79,3.77489984993e+17
80,80,3.92708875457e+17
81,81,3.95283328802e+17
82,82,4.00078075616e+17
83,83,2.92491254917e+17
84,84,3.02682817989e+17
85,85,2.98533948534e+17
86,86,3.27048337515e+17
87,87,3.28465379349e+17
88,88,3.29951252475e+17
89,89,3.30070430019e+17
90,90,3.29782256151e+17
91,91,3.29616851856e+17
92,92,3.29316608076e+17
93,93,3.32768799566e+17
94,94,3.30411683631e+17
95,95,3.17806423925e+17
96,96,3.16635652665e+17
97,97,3.16707300863e+17
98,98,3.20221776258e+17
99,99,3.18935227674e+17
100,100,3.64706774278e+17
101,101,3.62432215371e+17
102,102,3.62917143008e+17
103,103,3.67700377704e+17
104,104,3.64699428278e+17
105,105,3.50857348175e+17
106,106,3.33403425889e+17
107,107,3.30711400111e+17
108,108,3.35365966428e+17
109,109,3.38103361966e+17
110,110,3.35604194072e+17
111,111,3.58964980745e+17
112,112,3.63584005682e+17
113,113,3.60759263924e+17
114,114,3.59638516508e+17
115,115,3.63893982572e+17
116,116,3.82346833238e+17
117,117,3.82729546946e+17
118,118,3.83793981518e+17
119,119,3.85402994915e+17
120,120,4.36863227641e+17
121,121,4.80999256703e+17
122,122,4.81326336455e+17
123,123,4.8924935087e+17
124,124,5.06713341274e+17
125,125,5.02914787008e+17
126,126,5.13853177392e+17
127,127,5.22763094098e+17
