,Time_Ma,Total_Subduction_Zone_Length_km
0,0,61480.4469032
1,1,61871.280457
2,2,62555.9146043
3,3,63381.5096072
4,4,65973.4149669
5,5,65503.5982157
6,6,65401.0460167
7,7,65865.8089356
8,8,65883.965972
9,9,64638.4289728
10,10,63506.712806
11,11,61293.2610663
12,12,61139.5647205
13,13,65526.6262277
14,14,65394.3125231
15,15,69852.6684814
16,16,69875.7511375
17,17,68283.5856152
18,18,68468.7928283
19,19,68142.8247324
20,20,68082.4641666
21,21,69672.1838414
22,22,69718.3733123
23,23,69689.3197001
24,24,69534.4011607
25,25,66694.6487609
26,26,64544.0535133
27,27,66295.4280397
28,28,65625.9304165
29,29,66298.0119819
30,30,68518.3323951
31,31,69509.1377279
32,32,69749.1887452
33,33,68468.9290003
34,34,74164.7460565
35,35,74350.9873493
36,36,75565.5865894
37,37,73960.5184325
38,38,73769.4693249
39,39,73597.5030574
40,40,70604.5391983
41,41,66071.2792758
42,42,66086.193484
43,43,68529.2497583
44,44,68302.1961711
45,45,70943.3065272
46,46,70978.4983899
47,47,70821.7826202
48,48,72682.8802322
49,49,71953.2866925
50,50,72039.2559961
51,51,69789.6041748
52,52,76115.5896256
53,53,75922.5302074
54,54,76126.5322309
55,55,76533.1531939
56,56,69700.8106274
57,57,70039.7026245
58,58,72320.4252934
59,59,72151.2516174
60,60,72110.5110785
61,61,72041.5183664
62,62,72196.0714104
63,63,71147.7097278
64,64,71236.8076924
65,65,71121.2006496
66,66,63120.3726469
67,67,62923.6356091
68,68,64593.5114044
69,69,64604.2758965
70,70,64710.923021
71,71,65050.8830289
72,72,64397.0943536
73,73,64402.3156275
74,74,64395.0842995
75,75,64401.5592335
76,76,70718.8692504
77,77,70662.7458091
78,78,70623.2687892
79,79,70441.0995826
80,80,70522.2684118
81,81,68254.0222817
82,82,68351.3853004
83,83,68459.6410108
84,84,67642.1492631
85,85,70653.6496614
86,86,69449.848344
87,87,69405.0960152
88,88,69342.7219105
89,89,69304.4867108
90,90,70839.4732103
91,91,68673.1933302
92,92,68659.7276488
93,93,68649.7549379
94,94,68641.1821099
95,95,68632.6615053
96,96,68672.2698093
97,97,68721.2443915
98,98,68790.8978611
99,99,68861.7001061
100,100,67693.6314576
101,101,67584.9215217
102,102,67526.0439685
103,103,67482.8905131
104,104,64585.0289068
105,105,64547.8757536
106,106,64530.7350693
107,107,64508.534317
108,108,64488.6357229
109,109,64721.4681886
110,110,64710.9501617
111,111,61901.2771241
112,112,61877.5491334
113,113,61862.2285847
114,114,61849.4539914
115,115,61839.2721435
116,116,63212.3124909
117,117,63162.8290504
118,118,63105.2141762
119,119,63035.7920512
120,120,62973.8314914
121,121,61959.3201302
122,122,62014.6210288
123,123,62221.4924972
124,124,62261.2700836
125,125,62318.3695349
126,126,59153.0067072
127,127,59522.1299565
128,128,59580.9749763
129,129,59526.1900144
130,130,57405.6087309
131,131,57833.1949352
132,132,56003.3300258
133,133,56103.1591776
134,134,58275.0686566
135,135,55961.7959923
136,136,58014.1434447
137,137,57975.9428942
138,138,57929.6592905
139,139,57838.5501136
140,140,56852.0486322
141,141,59126.4754473
142,142,58960.0348701
143,143,62882.4498276
144,144,63121.6517247
145,145,63109.9713153
146,146,62280.2138784
147,147,61964.8134161
148,148,61906.935732
149,149,61873.0484898
150,150,61851.3874891
151,151,69300.5268836
152,152,69301.0562888
153,153,69317.1189831
154,154,69426.9388578
155,155,69460.3663777
156,156,70167.3771062
157,157,69882.0991633
158,158,69988.2184593
159,159,70147.5634873
160,160,70164.8269729
161,161,63747.3792381
162,162,63846.0350987
163,163,63993.6035821
164,164,63986.3751703
165,165,63864.5699345
166,166,64180.5729931
167,167,64154.718545
168,168,64126.6565828
169,169,63463.9203729
170,170,63434.823007
171,171,63228.4740574
172,172,63208.2802663
173,173,63205.6822954
174,174,63237.6664143
175,175,63267.3945231
176,176,63291.6594134
177,177,63325.3779216
178,178,63375.7779726
179,179,63430.8726865
180,180,63484.7501214
181,181,64614.2422011
182,182,64638.5469658
183,183,64700.4229775
184,184,64757.7458628
185,185,64816.3933409
186,186,64875.6358982
187,187,64631.423922
188,188,64605.2833354
189,189,64576.528966
190,190,64547.7906925
191,191,67305.031085
192,192,67515.9323362
193,193,67683.1529596
194,194,68009.5085092
195,195,68473.0371576
196,196,68852.0738435
197,197,69130.8514441
198,198,69403.0871594
199,199,69646.274044
200,200,69771.3316908
201,201,69039.88534
202,202,69243.9698336
203,203,69431.8323738
204,204,69610.2547606
205,205,69782.2840285
206,206,69948.1953354
207,207,70111.5031116
208,208,70271.3901221
209,209,70433.5093258
210,210,70554.624
211,211,70715.933236
212,212,70874.4250937
213,213,71030.2508079
214,214,71177.4771668
215,215,71322.7087692
216,216,71466.4228518
217,217,71609.1231079
218,218,71750.2133156
219,219,71889.9271845
220,220,72027.0983952
221,221,72175.0649184
222,222,72314.4435102
223,223,72454.1375191
224,224,72593.0112164
225,225,72760.3758956
226,226,72936.2122413
227,227,73109.448145
228,228,73280.1781981
229,229,73443.8958348
230,230,73604.1856536
